stage,base_model_type,base_params,boundary_model_type,boundary_params,boundary_apply,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_off_by_one_accuracy,validation_mae,validation_high_priority_recall_p1_p2,validation_low_priority_recall_p4_p5,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_off_by_one_accuracy,natural_mae,natural_high_priority_recall_p1_p2,natural_low_priority_recall_p4_p5,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2_3,1.2,1.8642380016298754,0.6952,0.6935180016298754,0.6935180016298754,0.9016,0.4472,0.87,0.796,0.612,0.648,0.896,0.616,0.704,0.7296482412060301,0.7293619059291584,0.7295125079354593,0.9005025125628141,0.4040201005025126,0.871536523929471,0.8190954773869347,0.6582914572864321,0.6868686868686869,0.87,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2,1.4,1.8639517157530208,0.6944,0.6922717157530207,0.6922717157530208,0.8992,0.4512,0.862,0.796,0.6,0.656,0.896,0.608,0.712,0.7246231155778895,0.7240409197468801,0.7241796824060835,0.8994974874371859,0.40904522613065325,0.8614609571788413,0.8140703517587939,0.6331658291457286,0.696969696969697,0.875,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2_3,1.3,1.8628281015577115,0.692,0.6911481015577113,0.6911481015577113,0.9016,0.4504,0.878,0.796,0.6,0.664,0.876,0.616,0.704,0.7306532663316583,0.7308179637977906,0.7309560616434038,0.9005025125628141,0.4030150753768844,0.8790931989924433,0.8190954773869347,0.6532663316582915,0.7121212121212122,0.855,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2_3,1.4,1.862359212008267,0.6912,0.6906792120082669,0.6906792120082668,0.9008,0.452,0.878,0.796,0.6,0.668,0.868,0.616,0.704,0.7296482412060301,0.7297926910423637,0.7299307667873693,0.9005025125628141,0.4040201005025126,0.8790931989924433,0.8190954773869347,0.6432160804020101,0.7171717171717171,0.855,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.1,base_1_2_3,1.1,1.8623383221517087,0.6952,0.6934583221517083,0.6934583221517083,0.9008,0.448,0.868,0.796,0.616,0.644,0.896,0.616,0.704,0.7286432160804021,0.72827789508905,0.7284284970953508,0.9005025125628141,0.40603015075376886,0.871536523929471,0.8190954773869347,0.6532663316582915,0.6868686868686869,0.87,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.03,base_1_2,1.3,1.860758856248317,0.6952,0.6929988562483166,0.6929988562483165,0.8992,0.4488,0.862,0.796,0.576,0.684,0.896,0.608,0.712,0.7195979899497488,0.7186841470264581,0.718833254003824,0.9005025125628141,0.4130653266331658,0.8614609571788413,0.8140703517587939,0.5979899497487438,0.702020202020202,0.88,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2,1.3,1.860187834669079,0.6936,0.691467834669079,0.691467834669079,0.8992,0.452,0.862,0.796,0.6,0.652,0.896,0.608,0.712,0.7256281407035176,0.725071500610637,0.7252103432250152,0.8994974874371859,0.40804020100502514,0.8614609571788413,0.8140703517587939,0.6432160804020101,0.6919191919191919,0.875,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.2,base_1_2,1.4,1.8594262458059863,0.6936,0.6918262458059863,0.6918262458059862,0.8992,0.4496,0.866,0.796,0.604,0.648,0.896,0.616,0.704,0.7276381909547739,0.726978596554396,0.727129063911725,0.8984924623115578,0.40703517587939697,0.8639798488664987,0.8190954773869347,0.6331658291457286,0.6919191919191919,0.88,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2_3,1.4,1.8592439586056122,0.6904,0.6897239586056119,0.6897239586056119,0.8992,0.456,0.876,0.796,0.6,0.668,0.864,0.608,0.712,0.7276381909547739,0.727662356873383,0.7277991801794166,0.9025125628140703,0.4030150753768844,0.8790931989924433,0.8140703517587939,0.6432160804020101,0.7171717171717171,0.86,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2,1.2,1.8591763009236832,0.6944,0.6922963009236834,0.6922963009236834,0.8992,0.4512,0.862,0.796,0.612,0.644,0.896,0.608,0.712,0.7246231155778895,0.7240249029947492,0.724168670214862,0.8994974874371859,0.40904522613065325,0.8614609571788413,0.8140703517587939,0.6482412060301508,0.6818181818181818,0.875,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2_3,1.2,1.8588051841823754,0.6936,0.6924051841823753,0.6924051841823753,0.8992,0.4496,0.878,0.796,0.58,0.68,0.888,0.616,0.704,0.7266331658291457,0.7265336626783121,0.7266850573125134,0.9015075376884422,0.40703517587939697,0.8765743073047859,0.8190954773869347,0.6180904522613065,0.7171717171717171,0.865,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2_3,1.3,1.8576899030376366,0.6904,0.6895299030376365,0.6895299030376365,0.9,0.4552,0.876,0.796,0.6,0.664,0.868,0.608,0.712,0.7286432160804021,0.7286846786791311,0.7288215349811634,0.9025125628140703,0.4020100502512563,0.8790931989924433,0.8140703517587939,0.6532663316582915,0.7121212121212122,0.86,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2,1.1,1.857574934596337,0.6944,0.6922949345963368,0.6922949345963367,0.8992,0.4512,0.862,0.796,0.616,0.64,0.896,0.608,0.712,0.7236180904522613,0.7229290125837903,0.7230727798039032,0.8994974874371859,0.41105527638190953,0.8614609571788413,0.8140703517587939,0.6432160804020101,0.6818181818181818,0.875,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.05,base_1_2_3,1.3,1.8574137410506564,0.6928,0.6916537410506561,0.691653741050656,0.9016,0.448,0.878,0.796,0.58,0.68,0.884,0.616,0.704,0.7286432160804021,0.7284889760694105,0.7286400475774168,0.9025125628140703,0.4040201005025126,0.8765743073047859,0.8190954773869347,0.6180904522613065,0.7222222222222222,0.87,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.03,base_1_2,1.4,1.857003894685075,0.6952,0.6928438946850753,0.6928438946850753,0.8992,0.4488,0.862,0.796,0.564,0.696,0.896,0.608,0.712,0.721608040201005,0.7206744314931339,0.7208156284227833,0.9005025125628141,0.41105527638190953,0.8614609571788413,0.8140703517587939,0.592964824120603,0.7171717171717171,0.88,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.05,sgd_log,alpha=0.03,base_1_2_3,1.1,1.8568743095727573,0.6928,0.6914343095727573,0.6914343095727573,0.8992,0.4504,0.876,0.796,0.592,0.66,0.892,0.616,0.704,0.7266331658291457,0.7264063806236214,0.7265637893401046,0.9015075376884422,0.40703517587939697,0.8765743073047859,0.8190954773869347,0.6231155778894473,0.7070707070707071,0.87,0.6984924623115578,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.1,base_1_2_3,1.2,1.8553356601327176,0.6928,0.6910956601327175,0.6910956601327175,0.9,0.4528,0.866,0.796,0.612,0.644,0.888,0.608,0.712,0.7276381909547739,0.7272223927294773,0.7273717768042006,0.9025125628140703,0.4030150753768844,0.871536523929471,0.8140703517587939,0.6582914572864321,0.6868686868686869,0.875,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.1,sgd_log,alpha=0.2,base_1_2,1.4,1.855031669553203,0.6928,0.690711669553203,0.6907116695532028,0.8992,0.452,0.86,0.796,0.604,0.644,0.896,0.608,0.712,0.7226130653266332,0.7218295794560581,0.7219757279133165,0.8994974874371859,0.41105527638190953,0.8589420654911839,0.8140703517587939,0.628140703517588,0.6868686868686869,0.88,0.6834170854271356,0.7336683417085427
boundary_refined,sgd_log,alpha=0.01,sgd_log,alpha=0.03,base_1_2,1.4,1.8549888969082151,0.6936,0.6912288969082152,0.6912288969082151,0.8976,0.456,0.874,0.814,0.548,0.732,0.872,0.592,0.724,0.7155778894472362,0.7155764458646584,0.715702534286299,0.8994974874371859,0.41708542713567837,0.8790931989924433,0.8241206030150754,0.5979899497487438,0.7373737373737373,0.825,0.6733668341708543,0.7437185929648241
