model,accuracy,macro_f1,off_by_one_accuracy,mae,p1_recall,p2_recall,p3_recall,p4_recall,p5_recall
current_best_saved,0.7246231155778895,0.7240249029947492,0.8994974874371859,0.4090452261306532,0.6482412060301508,0.6818181818181818,0.875,0.6834170854271356,0.7336683417085427
final_objective_validation_selected,0.7236180904522613,0.7234943394564356,0.9025125628140704,0.4090452261306532,0.6030150753768844,0.7171717171717171,0.865,0.6984924623115578,0.7336683417085427
exploratory_natural_best_not_selected,0.7316582914572864,0.7314252734936963,0.9025125628140704,0.4010050251256281,0.628140703517588,0.7222222222222222,0.875,0.6984924623115578,0.7336683417085427
