model,accuracy,macro_f1,off_by_one_accuracy,mae,p1_recall,p2_recall,p3_recall,p4_recall,p5_recall
old_best,0.7115577889447237,0.7108415125048996,0.8954773869346734,0.4301507537688442,0.6733668341708543,0.6515151515151515,0.84,0.6532663316582915,0.7386934673366834
p2_keywords_sgd,0.7246231155778895,0.7240249029947492,0.8994974874371859,0.4090452261306532,0.6482412060301508,0.6818181818181818,0.875,0.6834170854271356,0.7336683417085427
bigram_high_sgd,0.7195979899497488,0.7195341984465045,0.9015075376884422,0.4110552763819095,0.6482412060301508,0.6868686868686869,0.835,0.678391959798995,0.7487437185929648
p2_keywords_xgboost,0.7095477386934673,0.7094115985824015,0.9115577889447236,0.4110552763819095,0.6984924623115578,0.5606060606060606,0.805,0.7537688442211056,0.7286432160804021
