eval_set,priority,label,precision,recall,f1,support
natural_holdout,P1,P1 Blocker,0.7843137254901961,0.6030150753768844,0.6818181818181818,199
natural_holdout,P2,P2 Critical,0.5941422594142259,0.7171717171717171,0.6498855835240275,198
natural_holdout,P3,P3 Major,0.7554585152838428,0.865,0.8065268065268065,200
natural_holdout,P4,P4 Minor,0.6984924623115578,0.6984924623115578,0.6984924623115578,199
natural_holdout,P5,P5 Trivial,0.8342857142857143,0.7336683417085427,0.7807486631016043,199
