stage,base_model_type,base_params,p1p2_model_type,p1p2_params,p1_sample_weight,p2p4_model_type,p2p4_params,p4_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.03,1.3,1.600611913209334,0.6968,0.6948198553488902,0.6948198553488901,0.6968,0.608,0.9024,0.444,0.624,0.608,0.896,0.652,0.704,0.7306532663316583,0.7297628321393353,0.7299065321790673,0.7304388102126795,0.6582914572864321,0.9015075376884422,0.4020100502512563,0.6582914572864321,0.6616161616161617,0.875,0.7236180904522613,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.05,1.0,1.5996340167365992,0.6936,0.6917900278943325,0.6917900278943325,0.6936,0.612,0.9016,0.4456,0.628,0.612,0.896,0.628,0.704,0.7266331658291457,0.7257600485107526,0.7259169156963449,0.726418709710167,0.6532663316582915,0.9025125628140703,0.4050251256281407,0.6532663316582915,0.6616161616161617,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.03,1.0,1.5988992775301953,0.6936,0.6913654625503256,0.6913654625503256,0.6936,0.612,0.9016,0.448,0.624,0.612,0.896,0.624,0.712,0.7266331658291457,0.7257249848578071,0.7258626073459884,0.7264237855946398,0.6532663316582915,0.9035175879396985,0.4020100502512563,0.6532663316582915,0.6666666666666666,0.875,0.7035175879396985,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.05,1.6,1.5988838980144988,0.6936,0.6917398300241652,0.6917398300241652,0.6936,0.612,0.9,0.4488,0.624,0.612,0.896,0.632,0.704,0.7326633165829146,0.731828301178462,0.7319652544690067,0.7324640881173544,0.6582914572864321,0.9045226130653267,0.39597989949748746,0.6582914572864321,0.6767676767676768,0.875,0.7185929648241206,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.1,1.0,1.5974585908312957,0.6928,0.6910309847188264,0.6910309847188264,0.6928000000000001,0.612,0.9,0.4488,0.628,0.612,0.896,0.624,0.704,0.7266331658291457,0.7257354802971073,0.7258907301781833,0.726418709710167,0.6532663316582915,0.9015075376884422,0.40703517587939697,0.6532663316582915,0.6616161616161617,0.875,0.7085427135678392,0.7336683417085427
p1p2_boundary,sgd_log,alpha=0.05,sgd_log,alpha=0.03,1.0,,,1.0,1.5962523307201448,0.6912,0.6894872178669085,0.6894872178669086,0.6912,0.616,0.8992,0.452,0.624,0.616,0.896,0.616,0.704,0.7195979899497488,0.7186554750725677,0.718827023883867,0.7193733820618242,0.6381909547738693,0.8994974874371859,0.4190954773869347,0.6381909547738693,0.6515151515151515,0.875,0.6984924623115578,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.05,1.3,1.5947631638052844,0.6936,0.6917386063421403,0.6917386063421405,0.6936,0.608,0.9024,0.444,0.628,0.608,0.896,0.632,0.704,0.7266331658291457,0.7256644455630258,0.7258198201370453,0.726413633825694,0.6532663316582915,0.9025125628140703,0.4050251256281407,0.6532663316582915,0.6565656565656566,0.875,0.7135678391959799,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.1,1.3,1.5947631638052844,0.6936,0.6917386063421403,0.6917386063421405,0.6936,0.608,0.9024,0.444,0.628,0.608,0.896,0.632,0.704,0.7256281407035176,0.7246987726367371,0.724855776303853,0.725408608700066,0.6532663316582915,0.9015075376884422,0.40703517587939697,0.6532663316582915,0.6565656565656566,0.875,0.7085427135678392,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.1,sgd_log,alpha=0.1,1.0,sgd_log,alpha=0.1,1.6,1.5936877928072182,0.6936,0.6913463213453639,0.6913463213453639,0.6936,0.608,0.9016,0.448,0.624,0.608,0.896,0.628,0.712,0.7276381909547739,0.7267077740049079,0.7268387379725114,0.7274338866047408,0.6532663316582915,0.9045226130653267,0.4,0.6532663316582915,0.6717171717171717,0.875,0.7035175879396985,0.7336683417085427
p1p2_p4_suppression,sgd_log,alpha=0.05,sgd_log,alpha=0.05,1.0,sgd_log,alpha=0.03,1.0,1.5929308079728985,0.6928,0.6909513466214974,0.6909513466214973,0.6928000000000001,0.608,0.9016,0.4456,0.628,0.608,0.896,0.628,0.704,0.7266331658291457,0.725683994311614,0.7258409979787299,0.726413633825694,0.6532663316582915,0.9035175879396985,0.4030150753768844,0.6532663316582915,0.6565656565656566,0.875,0.7135678391959799,0.7336683417085427
