config_name,param_summary_weight,param_description_weight,param_bigram_summary_weight,param_bigram_description_weight,param_k1,param_summary_b,param_description_b,rep_unigram_weight,rep_bigram_weight,rep_product_weight,rep_component_weight,rep_severity_weight,base_model_type,base_params,boundary_model_type,boundary_params,boundary_apply,validation_score,base_accuracy,base_macro_f1,base_weighted_f1,base_off_by_one_accuracy,base_mae,base_high_priority_recall_p1_p2,base_low_priority_recall_p4_p5,base_p1_recall,base_p2_recall,base_p3_recall,base_p4_recall,base_p5_recall,refined_accuracy,refined_macro_f1,refined_weighted_f1,refined_off_by_one_accuracy,refined_mae,refined_high_priority_recall_p1_p2,refined_low_priority_recall_p4_p5,refined_p1_recall,refined_p2_recall,refined_p3_recall,refined_p4_recall,refined_p5_recall
default,2.0,1.0,2.0,1.0,1.2,0.75,0.75,0.2420235322033735,0.009977222836454424,2.3854421833551407,1.010808930953472,0.29043179520303025,sgd_log,alpha=0.01,sgd_log,alpha=0.1,base_1_2,0.7302311094818226,0.699497487437186,0.6989909808550754,0.6991848956477345,0.8974874371859296,0.4472361809045226,0.8841309823677582,0.821608040201005,0.6934673366834171,0.5858585858585859,0.815,0.6633165829145728,0.7386934673366834,0.7115577889447237,0.7106409133375331,0.7108077109211348,0.8974874371859296,0.4291457286432161,0.8664987405541562,0.821608040201005,0.6683417085427136,0.6363636363636364,0.85,0.6633165829145728,0.7386934673366834
summary_high,3.0,0.8,3.0,0.8,1.2,0.65,0.85,0.2481200334618148,0.008969181492271681,2.325908115408421,0.9430795913460477,0.1774705868028269,sgd_log,alpha=0.01,sgd_log,alpha=0.1,base_1_2,0.7432935200102762,0.7025125628140704,0.7016134181755223,0.7017957051122139,0.8974874371859296,0.44321608040201005,0.8866498740554156,0.8140703517587939,0.7185929648241206,0.5858585858585859,0.815,0.6532663316582915,0.7386934673366834,0.7115577889447237,0.7108415125048996,0.7109834188744183,0.8954773869346734,0.4301507537688442,0.8639798488664987,0.8140703517587939,0.6733668341708543,0.6515151515151515,0.84,0.6532663316582915,0.7386934673366834
description_balanced,1.5,1.5,1.5,1.5,1.2,0.75,0.75,0.20436249593522524,0.005054200334071377,2.5431795166847593,1.166183255211423,0.44454711511094164,sgd_log,alpha=0.01,sgd_log,alpha=0.1,base_1_2,0.7316361197269461,0.7045226130653266,0.7039523913265782,0.7041280862892516,0.8964824120603015,0.44120603015075377,0.8841309823677582,0.8190954773869347,0.7135678391959799,0.5909090909090909,0.81,0.6683417085427136,0.7386934673366834,0.7115577889447237,0.7106165721847807,0.7107781022405909,0.8964824120603015,0.42814070351758793,0.8639798488664987,0.8190954773869347,0.6683417085427136,0.6313131313131313,0.85,0.6683417085427136,0.7386934673366834
strong_norm,2.0,1.0,2.0,1.0,1.6,0.85,0.95,0.2537917976473955,0.010252318677758596,2.345521668381591,0.9452150363466485,0.23876254429653468,sgd_log,alpha=0.01,sgd_log,alpha=0.1,base_1_2,0.7403571144532194,0.700502512562814,0.6999712040900363,0.7001335374036053,0.9015075376884422,0.43316582914572865,0.8816120906801007,0.8241206030150754,0.592964824120603,0.6818181818181818,0.83,0.6482412060301508,0.7487437185929648,0.7065326633165829,0.7052261785640993,0.7053856287987706,0.8994974874371859,0.42814070351758793,0.8589420654911839,0.8241206030150754,0.6532663316582915,0.6313131313131313,0.85,0.6482412060301508,0.7487437185929648
soft_norm,2.0,1.0,2.0,1.0,0.9,0.45,0.55,0.22663421156488892,0.009761668642382062,2.405440220308513,1.0726058449897542,0.351174752247368,sgd_log,alpha=0.01,sgd_log,alpha=0.001,base_1_2,0.7303000394615398,0.7025125628140704,0.7017957648049629,0.7019798167174677,0.9005025125628141,0.4371859296482412,0.8841309823677582,0.8266331658291457,0.6984924623115578,0.5808080808080808,0.815,0.678391959798995,0.7386934673366834,0.7065326633165829,0.705774147014796,0.7059525056711116,0.9005025125628141,0.4301507537688442,0.8790931989924433,0.8266331658291457,0.6934673366834171,0.5959595959595959,0.825,0.678391959798995,0.7386934673366834
