true_priority,support,correct,wrong,recall,error_rate,most_common_wrong_prediction,most_common_wrong_count,predicted_P1,predicted_P2,predicted_P3,predicted_P4,predicted_P5
P1 Blocker,199,131,68,0.6582914572864321,0.3417085427135678,P2 Critical,50,131,50,10,5,3
P2 Critical,198,135,63,0.6818181818181818,0.3181818181818182,P1 Blocker,28,28,135,15,14,6
P3 Major,200,175,25,0.875,0.125,P4 Minor,15,4,0,175,15,6
P4 Minor,199,141,58,0.7085427135678392,0.2914572864321608,P3 Major,19,7,18,19,141,14
P5 Trivial,199,146,53,0.7336683417085427,0.2663316582914573,P4 Minor,29,2,6,16,29,146
